sonnet,semantic_only_tortuosity,prosody_conditioned_tortuosity,difference,percent_change,words_analyzed
1,49.95437134821921,46.17218415969055,-3.7821871885286598,-7.571283726431057,97
2,53.29734103679136,49.34592296696481,-3.951418069826552,-7.413912200796045,105
3,62.20443269730279,56.61490559569306,-5.5895271016097325,-8.98573760620776,111
4,43.3945826983968,40.943015438275246,-2.451567260121557,-5.649477671350275,98
5,49.218786296164815,45.59640194657861,-3.6223843495862056,-7.359759600306247,99
6,43.15512418250758,40.699941745371454,-2.4551824371361235,-5.689202577086553,99
7,43.428052652665144,40.73985039246399,-2.6882022602011517,-6.19001335772807,95
8,46.09836312958031,43.509909117111754,-2.588454012468553,-5.615067079914598,102
9,52.20174549826564,48.92423725985013,-3.277508238415507,-6.278541468549935,110
10,65.41553706578213,58.0955790768829,-7.319957988899233,-11.189937921839965,104
11,50.794320949065344,47.58312883529345,-3.2111921137718937,-6.321951064159236,109
12,72.80080027339976,64.77533751162689,-8.025462761772872,-11.023866127341524,114
13,64.9035715831875,58.039098505043064,-6.864473078144435,-10.576418077926848,106
14,86.85520276607491,74.61982819855456,-12.235374567520353,-14.08709458715283,105
15,59.15486830211285,53.99905056120312,-5.1558177409097325,-8.715796161658568,108
16,59.034305768100104,53.81394813465674,-5.2203576334433635,-8.842922035790664,107
17,54.78692997693595,51.08697189616932,-3.699958080766635,-6.753359026184224,113
18,67.81452944341362,60.09467466218281,-7.719854781230808,-11.383776964304495,106
19,46.796980129521664,44.072351347284894,-2.7246287822367705,-5.822232064324917,108
20,47.98481900412354,44.95239271510763,-3.032426289015909,-6.3195534586789215,103
21,52.77074650443331,48.95052446411149,-3.8202220403218234,-7.239279891560532,108
22,72.16315788509277,65.22969777599116,-6.933460109101617,-9.608033118702956,120
23,70.13459434544332,62.42414192804894,-7.710452417394379,-10.993793418718663,107
24,60.20893734566781,55.13426931060921,-5.0746680350586,-8.428429829153488,112
25,58.781550685738154,53.42491553370143,-5.3566351520367235,-9.112782989810398,101
26,66.27329684317012,59.995798917668665,-6.27749792550145,-9.472137685192564,116
27,50.70508251873816,47.26859885978905,-3.4364836589491077,-6.777394865059431,107
28,51.448119978182966,48.162556253418245,-3.285563724764721,-6.386168680523202,108
29,62.541180127334925,56.42643099202672,-6.114749135308209,-9.777156623617389,107
30,67.79590333680882,61.089848425365005,-6.706054911443815,-9.891534121358712,108
31,70.04553509156227,62.31202603629547,-7.733509055266801,-11.040688096903958,111
32,73.84313726383424,65.06817703775843,-8.774960226075805,-11.883244064676909,106
33,46.60424190513108,43.96654968558202,-2.6376922195490664,-5.6597685354874505,108
34,49.65008991582498,46.78610443386517,-2.8639854819598085,-5.768338963364032,115
35,63.384559236141335,56.63303711297763,-6.751522123163703,-10.651682688224867,104
36,53.21504137418398,49.46361309574011,-3.751428278443875,-7.049563772891834,111
37,72.41293669699236,64.27348251480966,-8.139454182182703,-11.24033156705378,113
38,53.59780755642935,49.75551845261201,-3.8422891038173432,-7.168743049372063,110
39,55.66209319761038,51.80745540745108,-3.854637790159302,-6.925067974850764,116
40,51.99917902350162,48.8047840479514,-3.1943949755502175,-6.143164249009536,117
41,59.78578838274817,54.198436200016125,-5.587352182732047,-9.345619308324347,106
42,91.16868309120775,78.72645029039629,-12.442232800811468,-13.647485494952146,127
43,76.56756530377456,67.94391874926917,-8.623646554505385,-11.262793220983172,121
44,55.4187639064313,51.807473584735064,-3.611290321696238,-6.516367502879564,114
45,52.22848021257443,47.86019875511339,-4.368281457461045,-8.363792014781517,99
46,58.87818703482408,54.28455772118483,-4.593629313639248,-7.801920447928026,110
47,47.354951977265124,45.20427524145159,-2.1506767358135335,-4.541608946929273,117
