sonnet,semantic_tortuosity,prosody_conditioned_tortuosity,difference,percent_change,mean_line_tortuosity,couplet_tortuosity,avg_metrical_deviation,num_rhyme_pairs,num_lines
144,2.8399637256331225,2.7844175775183877,-0.055546148114734795,-1.9558752674684852,8.064805,8.517517,2.2857142857142856,6,14
145,2.746303353448028,2.6956660569434145,-0.05063729650461335,-1.843834783984712,8.593239,6.5343065,3.2857142857142856,3,14
146,2.916796733366405,2.8580415946962403,-0.0587551386701648,-2.014372067756428,7.9423685,7.7090645,1.5714285714285714,4,14
147,2.880242264758931,2.8435752609539704,-0.036667003804960796,-1.2730527655120611,8.444478,8.564844,2.7857142857142856,6,14
148,3.7245968066220185,3.6112645448776473,-0.11333226174437128,-3.042806178184873,8.102571,6.1809826,3.5714285714285716,4,14
149,4.242652262396347,4.080024824713838,-0.16262743768250854,-3.833155008340298,7.1276584,6.3652954,2.642857142857143,4,14
150,2.6936958334462537,2.6458188404143743,-0.04787699303187942,-1.7773719080460053,7.6301303,6.7136097,2.5714285714285716,4,14
151,2.781782825336444,2.7389615683468187,-0.042821256989625134,-1.5393457965017847,7.8557534,7.0141687,3.2142857142857144,4,14
152,3.1623817328755983,3.0904311446428947,-0.07195058823270362,-2.2752024995817925,7.3427134,8.577572,2.7857142857142856,5,14
153,3.094380308266165,3.025352347769224,-0.06902796049694127,-2.23075231937534,8.044905,7.1194444,3.142857142857143,5,14
154,2.260798247499841,2.234478632056408,-0.026319615443433086,-1.1641735600485041,8.580316,11.348333,3.533333333333333,5,15
