sonnet,overall_tortuosity,mean_line_tortuosity,max_line_tortuosity,couplet_tortuosity,words_found,words_missing
1,49.95437134821921,2.613930696585549,4.634438470931059,7.891659347581079,97,8
2,53.29734103679136,2.9689991993428615,4.876821221748182,8.75387694185192,105,10
3,62.20443269730279,3.383050070815049,5.4588618807057765,8.50698585311373,111,4
4,43.3945826983968,2.9593461211453334,5.079899392769166,6.72551581092739,98,3
5,49.218786296164815,2.8988547224388848,4.005148462914331,8.563040156611233,99,5
6,43.15512418250758,2.8202456191405467,5.410669042666745,6.176159071261253,99,9
7,43.428052652665144,2.454089087455089,4.23420936071367,5.8382330604628025,95,5
8,46.09836312958031,2.591691316010603,3.3856193010643985,6.875349411644936,102,8
9,52.20174549826564,3.2088414564570185,5.5954827295217,5.262953550610731,110,7
10,65.41553706578213,3.1381519207407615,4.926740826138583,8.326948463556574,104,8
11,50.794320949065344,3.1768542227330365,5.507226592287086,6.191842498448942,109,7
12,72.80080027339976,3.418948911668962,5.6620299619543495,9.482278060151728,114,4
13,64.9035715831875,3.032818521896087,5.29523432170932,10.159656579666501,106,3
14,86.85520276607491,3.082271195127698,4.495886197188295,9.931306053884475,105,7
15,59.15486830211285,3.0643093564397117,5.908315738848041,9.96481301530684,108,2
16,59.034305768100104,3.1092389004130574,4.3353275697508815,8.333599312754826,107,1
17,54.78692997693595,3.33320282629991,4.950975007291082,7.8048064429204675,113,10
18,67.81452944341362,3.01518708785701,6.10319080550436,12.10012089505535,106,8
19,46.796980129521664,2.9410374379610436,4.050322785505955,9.257800860210715,108,7
20,47.98481900412354,2.595175735075474,3.6235436526414055,7.39281972801971,103,11
21,52.77074650443331,3.000435962088237,4.401595363295953,7.41232874753571,108,9
22,72.16315788509277,3.602153703396418,5.31113850762449,8.118525671063354,120,2
23,70.13459434544332,2.940840314627948,5.710201808335756,8.878149666841873,107,7
24,60.20893734566781,3.4672790969267298,5.9781655081559935,10.217201994069823,112,8
25,58.781550685738154,2.874807725784085,5.141367674598552,9.194889726005558,101,7
26,66.27329684317012,3.576514207253648,6.01159186551487,12.784266271597536,116,2
27,50.70508251873816,3.027145676422752,4.113783304373495,8.392973334325376,107,4
28,51.448119978182966,3.4097656483006262,4.8431437050680195,7.382111436802765,108,8
