sonnet,semantic_tortuosity,prosody_conditioned_tortuosity,difference,percent_change,avg_metrical_deviation,num_rhyme_pairs,num_lines
89,4.562864922482545,4.350968938914504,-0.2118959835680405,-4.6439240952316645,2.142857142857143,5,14
90,3.620281176866671,3.5502009556603524,-0.07008022120631852,-1.935767355699495,2.357142857142857,2,14
91,3.0308773886878417,2.9858541161959233,-0.0450232724919184,-1.485486435708649,2.0714285714285716,4,14
92,3.8591332574491646,3.769282096683187,-0.08985116076597777,-2.328273080297004,2.4285714285714284,4,14
93,3.585475151033407,3.529056314299592,-0.05641883673381498,-1.5735386345531894,2.2142857142857144,3,14
94,3.295109105361972,3.2526799121201635,-0.042429193241808605,-1.2876415282506315,2.642857142857143,4,14
95,3.1543809360175055,3.0849783003397757,-0.06940263567772975,-2.200198298349867,2.7857142857142856,3,14
96,3.6276343545579777,3.5563118757714283,-0.0713224787865494,-1.966087863759906,2.2857142857142856,6,14
97,3.6013153824828006,3.4850660807355602,-0.11624930174724035,-3.227967822887435,2.5,3,14
98,3.2001854191477688,3.13122126809214,-0.0689641510556287,-2.1550048519999296,2.2857142857142856,3,14
99,3.8788290124515337,3.7686405432839067,-0.11018846916762692,-2.8407663450466094,3.4,3,15
100,4.035818720692522,3.9293704738884183,-0.10644824680410325,-2.63758741834265,3.2142857142857144,6,14
101,3.5859220980790947,3.4825254996100368,-0.10339659846905791,-2.8834033657464384,2.5714285714285716,1,14
102,3.6890054384713333,3.578888785178824,-0.11011665329250953,-2.9849956886520657,1.2142857142857142,4,14
103,2.69226345538748,2.642528101312763,-0.04973535407471674,-1.8473435047818774,1.9285714285714286,6,14
104,3.995697030516949,3.855784411807335,-0.13991261870961358,-3.501582268150901,2.7857142857142856,5,14
105,3.1336861052305784,3.060543496148972,-0.0731426090816063,-2.3340758016420544,2.9285714285714284,4,14
106,3.0724327633359234,3.0063952540164967,-0.06603750931942676,-2.1493557192680726,1.9285714285714286,3,14
107,3.408011820377304,3.309636927549552,-0.09837489282775191,-2.8865772189974606,3.142857142857143,5,14
108,3.8700308832826495,3.7445438805649363,-0.1254870027177133,-3.2425323337800425,2.642857142857143,5,14
109,3.4434372833890787,3.372398733766988,-0.07103854962209066,-2.0630127333747614,2.5714285714285716,6,14
110,2.633465193535855,2.5984133095325626,-0.03505188400329251,-1.3310175539563391,3.7142857142857144,3,14
111,3.5892209827403887,3.481307106601185,-0.10791387613920378,-3.0066099763188996,3.9285714285714284,5,14
112,3.131378137053505,3.0601970665508156,-0.07118107050268963,-2.2731547384969613,2.357142857142857,4,14
113,3.2919822555803284,3.202714819514207,-0.08926743606612142,-2.711662127424951,3.0714285714285716,6,14
114,3.960121344013149,3.8610684323864857,-0.09905291162666341,-2.5012595075251944,3.0714285714285716,3,14
115,3.3020581123365216,3.2462512748389685,-0.05580683749755311,-1.690062245999191,3.7142857142857144,3,14
116,3.437881606642085,3.3669098645138384,-0.07097174212824653,-2.064403322997718,2.7857142857142856,6,14
117,2.659409952654396,2.629873442201105,-0.029536510453290976,-1.1106414948853656,2.2142857142857144,6,14
118,3.5934376394492262,3.4841442585529716,-0.10929338089625462,-3.041471478353142,3.5714285714285716,6,14
119,3.659114518307742,3.58772350594819,-0.07139101235955181,-1.951046134313625,2.2142857142857144,5,14
120,3.0307461321523745,2.98750692093674,-0.043239211215634565,-1.426685355032589,2.5714285714285716,5,14
121,3.8715581716869627,3.7395077179826215,-0.1320504537043412,-3.4107831485017455,2.4285714285714284,5,14
122,3.511162626667749,3.405819825564745,-0.10534280110300376,-3.000225631900702,3.357142857142857,4,14
123,3.7933215211507734,3.6714039332908297,-0.12191758785994367,-3.2140061732219776,2.4285714285714284,4,14
124,3.1279144958520324,3.0785760330636704,-0.04933846278836196,-1.5773597025682873,3.357142857142857,6,14
125,4.247964712891478,4.132538560412658,-0.11542615247882004,-2.7172107180770926,3.5714285714285716,4,14
126,2.8891869916231787,2.825849668032042,-0.06333732359113675,-2.192219602773205,2.5,0,12
127,3.312827297624784,3.2587292666730994,-0.05409803095168453,-1.6329867539570049,2.9285714285714284,5,14
128,3.8018568505977233,3.68060810031701,-0.12124875028071314,-3.189198200917285,2.2142857142857144,5,14
129,3.3299032626454386,3.250675619995214,-0.07922764265022453,-2.379277606619785,3.2142857142857144,3,14
130,3.462534424950717,3.372244679888885,-0.09028974506183207,-2.607620141224074,1.8571428571428572,3,14
131,3.216852047815078,3.1709989833136705,-0.04585306450140747,-1.4254017225489555,1.5,5,14
132,4.127642335532929,3.974310937055396,-0.1533313984775333,-3.7147452713520135,2.4285714285714284,5,14
133,3.0923085474747265,3.031724444969186,-0.06058410250554047,-1.959186852651405,3.5,4,14
134,3.5478239975318746,3.4261413264961016,-0.12168267103577302,-3.429783188805994,3.4285714285714284,5,14
135,3.7279667455721133,3.6414441450325,-0.08652260053961314,-2.32090591050417,3.0714285714285716,3,14
136,4.0715715012169085,3.9612714424208115,-0.11030005879609694,-2.7090291491413216,2.9285714285714284,3,14
137,3.261211399512552,3.1780654303526457,-0.08314596915990613,-2.5495424544490994,2.857142857142857,3,14
138,3.252308384904269,3.1629930108391675,-0.0893153740651016,-2.746214795609875,2.857142857142857,4,14
139,3.8757386278469492,3.734730601607676,-0.14100802623927322,-3.6382233111938724,3.2857142857142856,5,14
140,3.750711021521745,3.6190248399637035,-0.13168618155804168,-3.5109658089471725,2.857142857142857,2,14
141,3.5876947440391507,3.4769923745704086,-0.11070236946874212,-3.085612834053701,2.2142857142857144,4,14
142,4.106628895085082,3.9432176655259514,-0.1634112295591308,-3.9792061502003624,3.7857142857142856,4,14
143,3.2151945706126663,3.146322533899928,-0.06887203671273845,-2.1420799021694865,3.5714285714285716,3,14
144,3.015703531263176,2.948759060436321,-0.06694447082685473,-2.219862467674797,2.2857142857142856,6,14
145,3.175854831848517,3.0993516276627813,-0.07650320418573564,-2.408901169491009,3.2857142857142856,3,14
146,3.194457109537774,3.119269604187615,-0.07518750535015872,-2.3536864879377917,1.5714285714285714,4,14
147,3.009519319989084,2.9680556663568414,-0.0414636536322428,-1.377750039909802,2.7857142857142856,6,14
148,3.7110964319870914,3.5985085897639615,-0.1125878422231299,-3.033816131876832,3.5714285714285716,4,14
149,4.188190357755771,4.034908318569861,-0.15328203918591043,-3.659863236685501,2.642857142857143,4,14
150,3.0796881545792445,3.010806050127333,-0.06888210445191145,-2.2366584210641394,2.5714285714285716,4,14
151,2.982543988765761,2.931037433005208,-0.05150655576055296,-1.7269336497486982,3.2142857142857144,4,14
152,3.4527258289970324,3.353534561724368,-0.09919126727266425,-2.8728393792413542,2.7857142857142856,5,14
153,3.7696278375186014,3.645418108998863,-0.12420972851973833,-3.2950130324138507,3.142857142857143,5,14
154,3.0441052426653186,2.9820155893830274,-0.06208965328229121,-2.039668419214296,3.533333333333333,5,15
