sonnet,semantic_only_tortuosity,enhanced_prosody_tortuosity,difference,percent_change,avg_metrical_deviation,rhyme_approach_mean_angle,num_rhyme_words,words_analyzed
1,49.95437134821921,45.08662092263502,-4.867750425584191,-9.744393321762256,2.4285714285714284,2.1237038886740125,9,97
2,53.29734103679136,48.26242712222518,-5.034913914566175,-9.44683884152974,1.7857142857142858,2.0592521881526618,6,105
3,62.20443269730279,52.26180740644396,-9.942625290858835,-15.983789031951016,2.5,2.1049561987180563,10,111
4,43.3945826983968,39.99439468712322,-3.4001880112735847,-7.835512637385503,2.7857142857142856,2.0440777797505256,11,98
5,49.218786296164815,42.60476545442566,-6.614020841739155,-13.438000689290721,2.2857142857142856,2.0352744069547057,9,99
6,43.15512418250758,39.96429880206812,-3.190825380439456,-7.3938505354430655,2.5,1.9793992176642659,6,99
7,43.428052652665144,39.78734370984602,-3.640708942819124,-8.383311524321128,1.5714285714285714,2.1020065369909307,10,95
8,46.09836312958031,41.80863002998969,-4.289733099590613,-9.305608287071664,3.7857142857142856,2.0787940786548678,8,102
9,52.20174549826564,47.9424894086757,-4.25925608958994,-8.15922159103176,2.2857142857142856,2.1152275817804926,8,110
10,65.41553706578213,52.76515162239374,-12.650385443388394,-19.338502763750324,3.5,2.0484361728640743,7,104
11,50.794320949065344,46.645765584912496,-4.148555364152848,-8.16736061559493,3.0714285714285716,2.0266331997592717,7,109
12,72.80080027339976,58.90665708318493,-13.894143190214827,-19.0851517264042,1.8571428571428572,2.047475538109091,11,114
13,64.9035715831875,52.69557288404465,-12.207998699142848,-18.809440530550383,2.5714285714285716,1.9804471144030216,11,106
14,86.85520276607491,70.98069435665073,-15.87450840942418,-18.27698042704318,1.5714285714285714,2.082045723011399,10,105
15,59.15486830211285,49.82896191591023,-9.325906386202625,-15.76523903083312,2.2857142857142856,2.0489423697894953,12,108
16,59.034305768100104,49.78890462494318,-9.245401143156926,-15.661065244800065,2.7857142857142856,2.109108467404928,13,107
17,54.78692997693595,49.973533749799536,-4.8133962271364155,-8.785665174454465,3.0,1.991741543999567,7,113
18,67.81452944341362,54.384897411908646,-13.429632031504973,-19.80347300457351,1.5714285714285714,1.9786547312154323,7,106
19,46.796980129521664,41.70440247668903,-5.092577652832631,-10.882278383642968,2.9285714285714284,2.0544899586389826,8,108
20,47.98481900412354,43.170679096368715,-4.8141399077548215,-10.032631168914323,2.642857142857143,1.948155843888929,6,103
21,52.77074650443331,45.84664920092242,-6.924097303510891,-13.121090305078765,3.0714285714285716,2.055663829275915,8,108
22,72.16315788509277,63.17871367437065,-8.984444210722124,-12.450181607944987,2.9285714285714284,2.03572039695644,12,120
23,70.13459434544332,59.859979056727326,-10.274615288715992,-14.649853449082565,3.7857142857142856,1.9743410500881922,8,107
24,60.20893734566781,51.20495918498328,-9.003978160684532,-14.954554186850121,1.9285714285714286,2.011404332941806,7,112
25,58.781550685738154,51.54985562765759,-7.231695058080561,-12.3026612495188,2.9285714285714284,2.0397934523300623,7,101
26,66.27329684317012,55.21179458713413,-11.061502256035986,-16.69073787322223,2.2142857142857144,2.1054904800202174,12,116
27,50.70508251873816,43.5665900803998,-7.138492438338361,-14.07845542051986,1.6428571428571428,2.0881086867341794,11,107
28,51.448119978182966,46.23121905847055,-5.216900919712415,-10.140119642709372,1.5714285714285714,2.0468326740129554,7,108
29,62.541180127334925,51.80089512781897,-10.740284999515957,-17.17314092514492,2.4285714285714284,2.1123482634411705,8,107
30,67.79590333680882,59.08764719116047,-8.708256145648349,-12.844811732039163,3.0714285714285716,2.112859566449401,7,108
31,70.04553509156227,56.73200788035605,-13.313527211206221,-19.006960534747883,2.642857142857143,2.0787494063451586,10,111
32,73.84313726383424,62.658272615495136,-11.1848646483391,-15.146789617533022,2.5714285714285716,2.133148119730003,8,106
33,46.60424190513108,42.42008944135115,-4.184152463779931,-8.978050693963246,3.7142857142857144,2.099616609274641,12,108
34,49.65008991582498,44.41019776778161,-5.239892148043367,-10.553640802920794,2.2857142857142856,1.997741417460868,9,115
35,63.384559236141335,51.291987810345915,-12.09257142579542,-19.078102887399016,3.5,2.056447393936146,12,104
36,53.21504137418398,46.342028989482344,-6.873012384701639,-12.915544566382536,3.2142857142857144,2.1188114016995834,12,111
37,72.41293669699236,58.36689478356158,-14.046041913430784,-19.3971444249052,2.5,2.0859672787469474,11,113
38,53.59780755642935,46.67291154178349,-6.92489601464586,-12.920110598470144,3.2857142857142856,2.0190727305974088,12,110
39,55.66209319761038,48.152494674011194,-7.509598523599188,-13.49140517755732,3.7142857142857144,2.104608166801363,11,116
40,51.99917902350162,46.17434220879773,-5.824836814703886,-11.201786112952448,3.357142857142857,1.981600101525241,12,117
41,59.78578838274817,49.84534018068079,-9.94044820206738,-16.626774474275898,2.2142857142857144,2.031087430006973,10,106
42,91.16868309120775,69.69868716372768,-21.46999592748007,-23.549748882520188,4.071428571428571,2.1122688153871247,11,127
43,76.56756530377456,61.683477194934184,-14.884088108840373,-19.43915553510049,1.7142857142857142,2.1780894663825374,13,121
44,55.4187639064313,50.79172176735602,-4.627042139075279,-8.349233748496355,2.642857142857143,2.057639078492708,11,114
45,52.22848021257443,44.40800799059385,-7.82047222198058,-14.973577998346077,2.7857142857142856,2.087220931517113,9,99
46,58.87818703482408,52.94293001711752,-5.9352570177065616,-10.080570269930519,1.7142857142857142,2.0673690372619005,10,110
47,47.354951977265124,44.539169324040415,-2.8157826532247086,-5.9461208081819015,2.642857142857143,1.9780504038934204,10,117
48,58.703895239465275,50.44727096500175,-8.256624274463526,-14.064866123079323,1.5,1.9989513526842464,12,115
49,61.116750165733784,51.5452578605131,-9.571492305220687,-15.660996828635563,2.0,2.0709269779442105,13,112
50,54.9573931525849,48.05189782070238,-6.90549533188252,-12.565179925310419,1.7857142857142858,1.966529534124779,11,114
51,82.16371772209324,68.17064932285905,-13.99306839923419,-17.030714757289463,3.857142857142857,1.9893635804385132,11,114
52,62.77849442469538,50.92811734489026,-11.85037707980512,-18.87649136603617,2.7142857142857144,2.0325502257111476,11,106
