sonnet,semantic_tortuosity,prosody_conditioned_tortuosity,difference,percent_change,avg_metrical_deviation,num_rhyme_pairs,num_lines
1,3.5825218712019815,3.4753101378220568,-0.10721173337992473,-2.992633045501934,2.4285714285714284,4,14
2,3.5635330480578955,3.464330125070605,-0.09920292298729061,-2.783836199901545,1.7857142857142858,3,14
3,3.6246603179218275,3.51925584348985,-0.10540447443197731,-2.9079821331343454,2.5,4,14
4,3.650413723996909,3.5368868485883316,-0.11352687540857742,-3.109972841222902,2.7857142857142856,4,14
5,3.601382477620528,3.5331968082666405,-0.06818566935388759,-1.8933192955095008,2.2857142857142856,4,14
6,4.184633257776834,4.023058466494996,-0.16157479128183816,-3.8611458000904437,2.5,3,14
7,3.4001695049229554,3.30364863890282,-0.09652086602013554,-2.8387074785650315,1.5714285714285714,3,14
8,3.737947447084854,3.6181621111023263,-0.11978533598252783,-3.2045751760353367,3.7857142857142856,5,14
9,3.6769041306605352,3.567114680204348,-0.10978945045618715,-2.9859209420416435,2.2857142857142856,6,14
10,3.9505845946443756,3.8130206648431164,-0.1375639298012592,-3.4821157857940377,3.5,6,14
11,3.710045350929402,3.594788511766874,-0.11525683916252794,-3.106615371525175,3.0714285714285716,5,14
12,3.0052049122325317,2.975851220347143,-0.029353691885388944,-0.9767617431312672,1.8571428571428572,4,14
13,3.8081491940794368,3.6751064057870533,-0.13304278829238347,-3.49363382346538,2.5714285714285716,4,14
14,3.3348736537513526,3.251660421676118,-0.08321323207523479,-2.4952439197098037,1.5714285714285714,4,14
15,3.5483405426408785,3.448868532065866,-0.09947201057501243,-2.8033388954539196,2.2857142857142856,4,14
16,3.458547495087832,3.3656099167080775,-0.09293757837975436,-2.6871852565781853,2.7857142857142856,2,14
17,3.6845459020240474,3.6141444409881545,-0.07040146103589295,-1.910722865393508,3.0,2,14
18,3.424557905103666,3.3599327586948537,-0.06462514640881212,-1.8871091743696427,1.5714285714285714,5,14
19,3.1945388733142317,3.116210063216855,-0.07832881009737669,-2.4519598353208663,2.9285714285714284,4,14
20,3.5972493834036667,3.5225570200204253,-0.07469236338324148,-2.0763743466839824,2.642857142857143,7,14
21,3.7801617968868095,3.6932498195065424,-0.08691197738026712,-2.2991602489566545,3.0714285714285716,6,14
22,3.5392936641506663,3.4657258706694636,-0.07356779348120268,-2.0786009995826933,2.9285714285714284,6,14
23,3.2267537387839926,3.139098068122779,-0.08765567066121349,-2.7165280575221917,3.7857142857142856,2,14
24,3.35034796816369,3.264149639044041,-0.08619832911964886,-2.572817209995467,1.9285714285714286,3,14
25,3.4789414802960064,3.4072370505593588,-0.07170442973664759,-2.0610990481664158,2.9285714285714284,3,14
26,3.652195348313079,3.5423054437957227,-0.10988990451735647,-3.008872583119459,2.2142857142857144,5,14
27,3.6827269630476227,3.57811642792804,-0.10461053511958252,-2.840572656328901,1.6428571428571428,3,14
28,3.269172466525201,3.212025274672113,-0.0571471918530877,-1.748062925350322,1.5714285714285714,4,14
29,3.8439318082649487,3.709087842912028,-0.13484396535292076,-3.507969758021952,2.4285714285714284,5,14
30,3.3732620324218203,3.3153458622517613,-0.05791617017005901,-1.7169188048068214,3.0714285714285716,3,14
31,3.6971014162558524,3.5897689561085415,-0.1073324601473109,-2.9031516332059177,2.642857142857143,4,14
32,3.410977441812875,3.3486072893036583,-0.06237015250921685,-1.8285126059370302,2.5714285714285716,3,14
33,3.2323606411371113,3.1845169144507004,-0.0478437266864109,-1.4801481640854275,3.7142857142857144,5,14
34,3.3211743247848946,3.234064051335838,-0.08711027344905675,-2.6228756737934464,2.2857142857142856,5,14
35,3.591911122976042,3.5221970340746043,-0.0697140889014376,-1.9408634154532391,3.5,2,14
36,3.2328339755326723,3.179113967679313,-0.053720007853359064,-1.6617001757570198,3.2142857142857144,5,14
37,3.1494187611906126,3.1140948749120465,-0.035323886278566086,-1.121600173144716,2.5,3,14
38,3.702255005738287,3.591008254807868,-0.11124675093041869,-3.004837612698004,3.2857142857142856,5,14
39,3.569260729797563,3.4870150021792607,-0.0822457276183024,-2.3042790606940926,3.7142857142857144,5,14
40,3.537589526771345,3.4372825552040935,-0.10030697156725132,-2.8354610055282072,3.357142857142857,5,14
41,3.3460139497535155,3.2678947961452396,-0.07811915360827593,-2.3346930043143,2.2142857142857144,4,14
42,4.15261433860669,4.03616848468526,-0.11644585392143014,-2.804157680592625,4.071428571428571,6,14
43,3.9371004785901205,3.8517988786341237,-0.08530159995599673,-2.16660967683871,1.7142857142857142,3,14
44,3.5487653364935,3.4636970460868772,-0.08506829040662289,-2.3971235722979087,2.642857142857143,3,14
45,3.315820237033309,3.2351951105758707,-0.08062512645743825,-2.431528873518614,2.7857142857142856,4,14
46,4.57289051036397,4.372206233219115,-0.20068427714485448,-4.388565103188561,1.7142857142857142,3,14
47,4.176550442072958,4.077479300335884,-0.09907114173707399,-2.372080574894284,2.642857142857143,5,14
48,2.859617216291096,2.8057677029415116,-0.053849513349584655,-1.883102152372236,1.5,5,14
49,3.1059352676135146,3.0606517389138963,-0.04528352869961827,-1.457967562035266,2.0,1,14
50,3.3973041929801484,3.303520596629481,-0.09378359635066724,-2.760529850239856,1.7857142857142858,2,14
51,3.4072531547665252,3.307810724607078,-0.09944243015944743,-2.918551268206589,3.857142857142857,5,14
52,3.8016130966245907,3.660824223074213,-0.1407888735503775,-3.703398267314008,2.7142857142857144,5,14
53,3.4436213135906186,3.382487706132592,-0.06113360745802643,-1.7752709107925466,2.7857142857142856,4,14
54,3.2599343910716057,3.195654724073437,-0.06427966699816867,-1.9718086098364285,3.9285714285714284,5,14
55,3.2008294290594685,3.135852338380671,-0.06497709067879764,-2.0300079126019064,3.4285714285714284,4,14
