sonnet,overall_tortuosity_eebo,mean_line_tortuosity_eebo,max_line_tortuosity,couplet_tortuosity_eebo,num_lines,overall_tortuosity_poetry,mean_line_tortuosity_poetry,couplet_tortuosity_poetry,abs_diff
48,2.772013895598288,7.789978,9.734902,6.2720914,14,2.859617216291096,7.0631537,6.5886908,0.0876033206928084
49,3.174093885851339,7.5491605,9.139631,6.099421,14,3.1059352676135146,6.844291,6.445175,0.06815861823782443
50,3.3652163988462123,7.276778,8.49513,7.0491366,14,3.3973041929801484,6.849577,6.488445,0.03208779413393614
51,3.584831149074388,6.6631885,7.5072765,6.7672076,14,3.4072531547665252,6.449692,6.6807976,0.17757799430786259
52,4.018228763448465,7.6465063,9.112503,6.9268785,14,3.8016130966245907,6.7666006,6.6533713,0.21661566682387434
53,3.2777182408518613,7.038847,7.9731374,6.879438,14,3.4436213135906186,6.5811925,6.329689,0.16590307273875737
54,3.5071932550934504,7.297432,8.87193,7.8122783,14,3.2599343910716057,6.8860703,7.364537,0.24725886402184472
55,3.177407263424869,7.8209286,9.86983,7.4423065,14,3.2008294290594685,7.3864894,7.604353,0.023422165634599423
56,3.569316895703391,7.124145,8.76721,7.138891,14,3.4418969358567377,7.0610538,6.6758614,0.12741995984665344
57,3.6795406472092207,7.7851553,9.842671,6.8356056,14,3.9564984736102358,7.185691,6.38128,0.2769578264010151
58,3.462543534227002,7.261197,8.984397,7.030306,14,3.6184023117735165,6.7118297,6.3420067,0.15585877754651456
59,3.082062788928618,7.7884693,8.506818,6.895025,14,3.044694616553453,7.461795,6.8589816,0.0373681723751651
60,3.225270842179601,6.8118815,8.215135,6.2088995,14,3.253769445109444,6.533808,6.149097,0.028498602929843297
61,3.2641985002867813,7.325503,8.424817,8.158562,14,3.1631099223967167,6.8142886,7.025889,0.10108857789006453
62,3.4835430352455488,7.560686,8.847491,6.829844,14,3.57540770164899,7.2010093,7.65739,0.09186466640344104
63,3.543977702377907,7.447486,9.182977,7.1364775,14,3.430437493463947,7.3544645,6.519808,0.11354020891395988
64,3.781408999204321,7.3053923,8.663332,6.823179,14,3.1714766956929066,6.8863244,6.353412,0.6099323035114144
65,2.902107625061197,6.910991,8.175026,8.175026,14,3.1813173146491565,6.778205,7.510941,0.27920968958795944
66,4.000769439438621,6.652055,7.986074,6.0450425,14,3.955599845432226,6.309328,6.410945,0.04516959400639475
67,3.6938400641918947,6.995577,8.01253,8.01253,14,3.559414256629004,7.032324,7.6316333,0.13442580756289058
68,3.952775824756491,7.251083,8.212022,6.415776,14,4.341682549461291,6.6297255,6.979419,0.38890672470480014
69,3.567099446090443,6.9699206,8.1335945,6.675067,14,3.2804145673775382,6.9171076,6.0800977,0.2866848787129048
70,3.8672436272433455,7.309983,8.590625,6.7856264,14,4.179325472684787,6.7907467,6.642204,0.31208184544144135
71,3.6182989234240983,7.5627337,9.692836,8.023972,14,3.7780005929948657,7.0848894,7.2362947,0.15970166957076737
72,4.000877297310271,7.5527964,8.244572,8.244572,14,3.7421788231406308,7.0158124,7.560463,0.25869847416963987
73,3.859784986776733,7.0402837,7.842382,6.25593,14,3.928636264603353,6.631055,5.697837,0.06885127782661993
74,3.304758715590597,7.735936,9.000001,8.286936,14,3.1435223447193867,6.833054,6.9922814,0.16123637087121034
75,3.089236934353359,7.805758,9.368167,8.651287,14,4.128175339500967,7.2955008,7.3068423,1.0389384051476074
76,3.510994323945711,8.112909,9.546206,7.438962,14,3.8395786804025565,6.901379,6.4331355,0.3285843564568456
77,3.900932290477253,6.8670316,7.6558743,7.0311546,14,4.220671839010442,6.5831304,6.6560297,0.31973954853318887
78,3.4794662151767466,7.3998237,9.379015,8.010695,14,3.6016008769895316,6.998438,6.8984613,0.12213466181278498
79,3.5159552043307056,6.68839,8.946974,6.078294,14,3.5056859315110254,6.4704685,6.3645477,0.010269272819680264
80,3.531754562009139,7.535358,8.8310795,7.199694,14,3.526878538285329,6.9078135,6.802809,0.004876023723809908
81,3.133352493237546,7.1578393,8.623097,7.6443534,14,3.375226089797174,6.7172666,7.5204487,0.24187359655962837
82,4.011165463453469,7.702088,8.547786,5.3385696,14,3.9985295507016447,7.3308115,5.534147,0.012635912751823852
83,3.9606263897582665,7.393475,8.251695,7.556199,14,3.6716659787143064,6.846624,7.3917103,0.2889604110439601
84,3.255617394075737,6.983126,7.8229375,5.9622536,14,3.690170186250612,6.4530873,6.10379,0.4345527921748751
85,3.659242152114203,7.4519753,8.773986,6.627275,14,3.9469780950665436,6.793963,5.1550326,0.28773594295234073
86,3.562626477271537,7.425014,7.9260836,5.8204494,14,3.8736648833470206,6.943959,6.0939317,0.31103840607548383
87,3.0909371956725784,6.5124736,7.8204584,7.4001904,14,3.4703325446924946,6.408753,7.083224,0.37939534901991623
88,3.7378153386629815,7.8110986,9.559089,6.8982654,14,3.8287227387012255,6.808836,6.1123023,0.09090740003824394
89,4.562864922482545,7.345761,8.456003,7.000333,14,4.02223857473289,6.798609,6.448501,0.5406263477496545
90,3.620281176866671,7.802375,9.606542,6.888122,14,4.085846339974078,6.836198,6.008606,0.46556516310740736
91,3.0308773886878417,6.777766,7.41979,6.1148467,14,3.0392542521618853,6.228534,5.28493,0.008376863474043539
92,3.8591332574491646,7.2113953,7.995253,6.7607493,14,3.8148793338730442,6.899046,6.919305,0.044253923576120346
93,3.585475151033407,6.940163,8.040119,6.6162667,14,3.6305137233236744,6.866128,6.9461455,0.04503857229026753
94,3.295109105361972,7.3737736,8.704171,7.117757,14,3.3644898492131055,6.853069,6.447206,0.06938074385113335
95,3.1543809360175055,7.560646,8.909347,7.511729,14,3.510870947182553,7.0434656,7.118603,0.3564900111650475
96,3.6276343545579777,7.170686,8.560729,7.35319,14,3.8564847807531626,6.722315,6.82727,0.22885042619518492
97,3.6013153824828006,6.8457694,7.8100367,6.726008,14,3.5057942905041095,6.7433376,6.1590014,0.09552109197869108
98,3.2001854191477688,7.6367397,9.353149,7.672213,14,3.7953722125142906,7.196724,6.89297,0.5951867933665218
99,3.8788290124515337,6.7794538,7.7424297,6.2935286,15,3.7760962735987285,6.8061824,5.9518127,0.1027327388528052
100,4.035818720692522,7.071905,8.264521,7.05001,14,4.214289676705956,6.8547964,7.258323,0.17847095601343455
101,3.5859220980790947,7.064548,8.214536,8.033393,14,3.328234999423019,6.627726,8.229602,0.25768709865607553
102,3.6890054384713333,7.063484,8.266517,6.992641,14,3.756336772941865,6.6512346,6.4579716,0.06733133447053152
103,2.69226345538748,7.5636945,9.020085,8.765762,14,2.6191703782026114,6.799335,8.053069,0.07309307718486835
104,3.995697030516949,6.841255,7.989349,6.2722087,14,3.887660666523855,6.747811,6.5884423,0.10803636399309369
105,3.1336861052305784,7.0873494,7.8632298,7.232549,14,3.2758296146170167,6.9037533,6.7693143,0.14214350938643827
106,3.0724327633359234,7.7300143,8.772259,7.843612,14,3.0807027620741256,7.200991,7.065649,0.008269998738202222
107,3.408011820377304,7.3724513,9.483377,8.518098,14,3.465449101090691,6.801315,7.1807866,0.05743728071338694
108,3.8700308832826495,6.897738,8.02777,6.925324,14,3.8358846587953153,6.673714,5.9863987,0.03414622448733429
109,3.4434372833890787,7.0971155,7.8835263,7.660575,14,3.591841916913911,6.7645345,6.624492,0.14840463352483235
110,2.633465193535855,7.3203506,8.492079,8.492079,14,3.1303553197483085,7.2024045,6.999524,0.49689012621245343
111,3.5892209827403887,7.2239695,8.17675,7.418569,14,3.7916759102597277,7.1233754,6.306879,0.20245492751933902
112,3.131378137053505,7.443296,8.666847,8.666847,14,3.623281012267149,6.979942,7.7401047,0.49190287521364384
113,3.2919822555803284,7.1443033,8.482379,7.949856,14,3.7437725215678577,6.5483856,7.4321566,0.45179026598752925
114,3.960121344013149,7.214474,8.1937685,7.069209,14,3.9452586697558005,6.970977,7.2568297,0.014862674257348552
115,3.3020581123365216,7.473607,8.8937025,7.6296453,14,3.1150314474367424,7.0279636,7.63311,0.18702666489977915
116,3.437881606642085,7.4166646,8.821834,6.130988,14,3.21244548882185,6.600384,5.5542917,0.2254361178202351
117,2.659409952654396,7.680975,9.257855,8.354675,14,3.293130241208489,6.898972,7.3388047,0.6337202885540929
118,3.5934376394492262,6.976861,7.762471,7.762471,14,3.7214985079138425,6.729614,7.5971456,0.12806086846461628
119,3.659114518307742,7.545448,9.285258,6.9373307,14,3.7138063956953467,7.2630363,6.7802873,0.05469187738760484
120,3.0307461321523745,7.1422586,7.643549,7.0284867,14,3.420715506999212,6.758172,6.736676,0.38996937484683736
121,3.8715581716869627,6.713029,7.503473,7.464211,14,3.449859984563365,6.533549,6.7041984,0.42169818712359763
122,3.511162626667749,7.6002984,9.102194,7.1411386,14,3.966390814282294,6.6669383,6.4459867,0.4552281876145452
123,3.7933215211507734,8.0399,8.9919195,7.907933,14,3.9561587392009185,7.3441954,6.1890187,0.16283721805014517
124,3.1279144958520324,7.627376,9.003494,6.591207,14,3.2807392030145173,6.9560423,6.742191,0.15282470716248486
125,4.247964712891478,7.0440974,9.766038,6.0672355,14,4.245900960454185,6.541562,6.454611,0.002063752437292621
126,2.8891869916231787,6.984164,7.631394,7.2203255,12,2.6598929341823214,6.6291385,6.0766096,0.2292940574408573
127,3.312827297624784,7.281901,8.524531,7.7073193,14,3.930504059758291,6.750746,7.653239,0.6176767621335073
128,3.8018568505977233,7.31202,8.371588,7.076775,14,3.6576808505417078,7.3089557,7.457251,0.1441760000560155
129,3.3299032626454386,7.0635076,8.500592,7.961904,14,3.136789476588787,6.5158505,7.768847,0.19311378605665164
130,3.462534424950717,7.0571523,8.062832,6.3900614,14,3.3717861140535534,6.731447,6.120466,0.09074831089716362
131,3.216852047815078,7.710561,9.161309,8.426608,14,3.556044610570076,7.2789326,7.2017894,0.3391925627549979
132,4.127642335532929,7.179313,8.159026,6.749164,14,4.286816871680089,6.6279774,6.823712,0.1591745361471597
133,3.0923085474747265,6.592683,7.537568,6.6389055,14,3.5890211601996667,6.2930546,5.9989815,0.49671261272494016
134,3.5478239975318746,6.805801,7.938959,7.621904,14,4.001433756066194,6.307375,6.5418825,0.4536097585343195
135,3.7279667455721133,6.716322,7.4416413,6.538478,14,4.082009740869403,6.823427,6.203822,0.3540429952972901
136,4.0715715012169085,6.424119,7.4452734,5.4392076,14,4.094303131095512,6.3149023,6.229453,0.022731629878603776
137,3.261211399512552,7.187293,8.362629,6.448121,14,3.6338202354833684,6.764578,5.533869,0.3726088359708166
138,3.252308384904269,7.2799616,8.569997,8.569997,14,3.442919103121406,6.5586066,7.6164603,0.19061071821713682
139,3.8757386278469492,7.3026524,8.020286,7.358347,14,3.705450590228885,6.508281,6.7463403,0.17028803761806444
140,3.750711021521745,7.739166,8.803849,7.3104415,14,3.4290594220346855,6.9757867,6.946281,0.3216515994870597
141,3.5876947440391507,7.152759,8.639817,7.5892515,14,3.9241245625849803,6.902297,6.7762036,0.33642981854582965
142,4.106628895085082,6.8099756,7.957286,6.866411,14,3.6732527889528335,6.733577,6.6112533,0.43337610613224875
143,3.2151945706126663,7.3098884,8.6839485,6.244676,14,3.100221069200609,6.7856445,7.2715435,0.1149735014120572
144,3.015703531263176,7.103101,7.7353716,7.0739355,14,3.908688192471088,6.703534,7.3628955,0.8929846612079122
145,3.175854831848517,7.5577955,9.381333,6.070592,14,3.4623628288686583,6.9267383,5.6016893,0.2865079970201414
146,3.194457109537774,7.03095,8.302573,6.8751774,14,3.56269412214053,6.497517,6.682545,0.3682370126027563
147,3.009519319989084,7.3897243,8.487163,7.891496,14,3.314924148701391,6.737346,7.005487,0.305404828712307
148,3.7110964319870914,7.1939793,8.867502,5.9946647,14,3.6439725518716584,6.6932,6.4766383,0.06712388011543302
149,4.188190357755771,6.7986503,8.137583,5.501561,14,4.378159191858326,6.3561826,6.3183975,0.1899688341025545
150,3.0796881545792445,7.2346067,8.1327715,5.6075864,14,3.306732397568086,6.742959,5.4251847,0.2270442429888413
151,2.982543988765761,6.8932896,7.9097314,7.376278,14,3.9486610468357455,6.6644444,6.646022,0.9661170580699845
152,3.4527258289970324,6.6451893,7.728888,7.728888,14,3.295679790484749,6.2608213,6.970483,0.15704603851228338
153,3.7696278375186014,6.7442937,8.017676,5.900465,14,3.9155344613701977,6.7801414,6.373105,0.14590662385159625
154,3.0441052426653186,7.458283,9.3884535,9.3884535,15,2.5848194096551502,7.1963625,10.280522,0.45928583301016834
